,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
555,750,Sydney,Brenner,13.01.27,,South Africa,ZA,Germiston,,,,male,2002,medicine,,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",The Molecular Sciences Institute,"Berkeley, CA",USA,1927
556,752,John E.,Sulston,27.03.42,,United Kingdom,GB,Cambridge,,,,male,2002,medicine,,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",The Wellcome Trust Sanger Institute,Cambridge,United Kingdom,1942
557,751,H. Robert,Horvitz,08.05.47,,USA,US,"Chicago, IL",,,,male,2002,medicine,,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1947
558,421,George D.,Snell,19.12.03,06.06.96,USA,US,"Bradford, MA",USA,US,"Bar Harbor, ME",male,1980,medicine,,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Jackson Laboratory,"Bar Harbor, ME",USA,1903
559,419,Baruj,Benacerraf,29.10.20,08.02.11,Venezuela,VE,Caracas,USA,US,"Boston, MA",male,1980,medicine,,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Harvard Medical School,"Boston, MA",USA,1920
560,420,Jean,Dausset,19.10.16,06.06.09,France,FR,Toulouse,Spain,ES,"Palma, Majorca",male,1980,medicine,,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""","Universit_ de Paris, Laboratoire Immuno-H_matologie",Paris,France,1916
561,361,Werner,Forssmann,29.08.04,06.01.79,Germany,DE,Berlin,West Germany (now Germany),DE,Schopfheim,male,1956,medicine,,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",,Bad Kreuznach,Federal Republic of Germany,1904
562,361,Werner,Forssmann,29.08.04,06.01.79,Germany,DE,Berlin,West Germany (now Germany),DE,Schopfheim,male,1956,medicine,,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Mainz University,Mainz,Federal Republic of Germany,1904
563,360,Andr_ Fr_d_ric,Cournand,1895-09-24,2/19/1988,France,FR,Paris,USA,US,"Great Barrington, MA",male,1956,medicine,,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,1895
564,362,Dickinson W.,Richards,1895-10-30,2/23/1973,USA,US,"Orange, NJ",USA,US,"Lakeville, CT",male,1956,medicine,,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Columbia University,"New York, NY",USA,1895
565,424,Torsten N.,Wiesel,03.06.24,,Sweden,SE,Uppsala,,,,male,1981,medicine,,4,"""for their discoveries concerning information processing in the visual system""",Harvard Medical School,"Boston, MA",USA,1924
566,423,David H.,Hubel,27.02.26,9/22/2013,Canada,CA,"Windsor, ON",USA,US,"Lincoln, MA",male,1981,medicine,,4,"""for their discoveries concerning information processing in the visual system""",Harvard Medical School,"Boston, MA",USA,1926
567,328,William Parry,Murphy,1892-02-06,10.09.87,USA,US,"Stoughton, WI",USA,US,"Brookline, MA",male,1934,medicine,,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Peter Brent Brigham Hospital,"Boston, MA",USA,1892
568,327,George Richards,Minot,1885-12-02,2/25/1950,USA,US,"Boston, MA",USA,US,"Brookline, MA",male,1934,medicine,,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Harvard University,"Cambridge, MA",USA,1885
569,328,William Parry,Murphy,1892-02-06,10.09.87,USA,US,"Stoughton, WI",USA,US,"Brookline, MA",male,1934,medicine,,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Harvard University,"Cambridge, MA",USA,1892
570,326,George Hoyt,Whipple,1878-08-28,02.01.76,USA,US,"Ashland, NH",USA,US,"Rochester, NY",male,1934,medicine,,3,"""for their discoveries concerning liver therapy in cases of anaemia""",University of Rochester,"Rochester, NY",USA,1878
571,765,Sir Peter,Mansfield,09.10.33,,United Kingdom,GB,London,,,,male,2003,medicine,,2,"""for their discoveries concerning magnetic resonance imaging""","University of Nottingham, School of Physics and Astronomy",Nottingham,United Kingdom,1933
572,764,Paul C.,Lauterbur,06.05.29,3/27/2007,USA,US,"Sidney, OH",USA,US,"Urbana, IL",male,2003,medicine,,2,"""for their discoveries concerning magnetic resonance imaging""",University of Illinois,"Urbana, IL",USA,1929
573,410,D. Carleton,Gajdusek,09.09.23,12.12.08,USA,US,"Yonkers, NY",Norway,NO,TromsË,male,1976,medicine,,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",National Institutes of Health,"Bethesda, MD",USA,1923
574,409,Baruch S.,Blumberg,28.07.25,04.05.11,USA,US,"New York, NY",USA,US,"Moffett Field, CA",male,1976,medicine,,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",The Institute for Cancer Research,"Philadelphia, PA",USA,1925
575,458,Robert F.,Furchgott,04.06.16,5/19/2009,USA,US,"Charleston, SC",USA,US,"Seattle, WA",male,1998,medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",SUNY Health Science Center,"Brooklyn, NY",USA,1916
576,460,Ferid,Murad,14.09.36,,USA,US,"Whiting, IN",,,,male,1998,medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",University of Texas Medical School at Houston,"Houston, TX",USA,1936
577,459,Louis J.,Ignarro,31.05.41,,USA,US,"Brooklyn, NY",,,,male,1998,medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",University of California School of Medicine,"Los Angeles, CA",USA,1941
578,80,J. Hans D.,Jensen,25.06.07,02.11.73,Germany,DE,Hamburg,West Germany (now Germany),DE,Heidelberg,male,1963,physics,,4,"""for their discoveries concerning nuclear shell structure""",University of Heidelberg,Heidelberg,Federal Republic of Germany,1907
579,442,Joseph E.,Murray,01.04.19,11/26/2012,USA,US,"Milford, MA",USA,US,"Boston, MA",male,1990,medicine,,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Brigham and Women's Hospital,"Boston, MA",USA,1919
580,443,E. Donnall,Thomas,15.03.20,10/20/2012,USA,US,"Mart, TX",USA,US,"Seattle, WA",male,1990,medicine,,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Fred Hutchinson Cancer Research Center,"Seattle, WA",USA,1920
581,401,Konrad,Lorenz,07.11.03,2/27/1989,Austria,AT,Vienna,Austria,AT,Vienna,male,1973,medicine,,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""","Konrad-Lorenz-Institut der sterreichischen Akademie der Wissen_schaften, Forschungsstelle fôr Ethologie",Altenberg; Grônau im Almtal,Austria,1903
582,400,Karl,von Frisch,1886-11-20,06.12.82,Austria,AT,Vienna,West Germany (now Germany),DE,Munich,male,1973,medicine,,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",Zoologisches Institut der Universit_t Mônchen,Munich,Federal Republic of Germany,1886
583,402,Nikolaas,Tinbergen,15.04.07,12/21/1988,the Netherlands,NL,the Hague,United Kingdom,GB,Oxford,male,1973,medicine,,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",University of Oxford,Oxford,United Kingdom,1907
584,427,John R.,Vane,29.03.27,11/19/2004,United Kingdom,GB,Tardebigg,United Kingdom,GB,Farnborough,male,1982,medicine,,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",The Wellcome Research Laboratories,Beckenham,United Kingdom,1927
585,426,Bengt I.,Samuelsson,21.05.34,,Sweden,SE,Halmstad,,,,male,1982,medicine,,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",Karolinska Institutet,Stockholm,Sweden,1934
586,425,Sune K.,Bergstr_m,10.01.16,8/15/2004,Sweden,SE,Stockholm,Sweden,SE,Stockholm,male,1982,medicine,,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",Karolinska Institutet,Stockholm,Sweden,1916
587,447,Edwin G.,Krebs,06.06.18,12/21/2009,USA,US,"Lansing, IA",USA,US,"Seattle, WA",male,1992,medicine,,34,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,"Seattle, WA",USA,1918
588,446,Edmond H.,Fischer,06.04.20,,China,CN,Shanghai,,,,male,1992,medicine,,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,"Seattle, WA",USA,1920
589,722,Arvid,Carlsson,25.01.23,,Sweden,SE,Uppsala,,,,male,2000,medicine,,3,"""for their discoveries concerning signal transduction in the nervous system""",G_teborg University,Gothenburg,Sweden,1923
590,723,Paul,Greengard,11.12.25,,USA,US,"New York, NY",,,,male,2000,medicine,,3,"""for their discoveries concerning signal transduction in the nervous system""",Rockefeller University,"New York, NY",USA,1925
591,724,Eric R.,Kandel,07.11.29,,Austria,AT,Vienna,,,,male,2000,medicine,,3,"""for their discoveries concerning signal transduction in the nervous system""",Columbia University,"New York, NY",USA,1929
592,861,Bruce A.,Beutler,29.12.57,,USA,US,"Chicago, IL",,,,male,2011,medicine,,4,"""for their discoveries concerning the activation of innate immunity""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,1957
593,861,Bruce A.,Beutler,29.12.57,,USA,US,"Chicago, IL",,,,male,2011,medicine,,4,"""for their discoveries concerning the activation of innate immunity""",The Scripps Research Institute,"La Jolla, CA",USA,1957
594,862,Jules A.,Hoffmann,02.08.41,,Luxembourg,LU,Echternach,,,,male,2011,medicine,,4,"""for their discoveries concerning the activation of innate immunity""",University of Strasbourg,Strasbourg,France,1941
595,398,Gerald M.,Edelman,01.07.29,5/17/2014,USA,US,"New York, NY",USA,US,"La Jolla, CA",male,1972,medicine,,2,"""for their discoveries concerning the chemical structure of antibodies""",Rockefeller University,"New York, NY",USA,1929
596,399,Rodney R.,Porter,08.10.17,09.06.85,United Kingdom,GB,Newton-le-Willows,United Kingdom,GB,Winchester,male,1972,medicine,,2,"""for their discoveries concerning the chemical structure of antibodies""",University of Oxford,Oxford,United Kingdom,1917
597,444,Erwin,Neher,20.03.44,,Germany,DE,Landsberg,,,,male,1991,medicine,,2,"""for their discoveries concerning the function of single ion channels in cells""",Max-Planck-Institut fôr Biophysikalische Chemie,G_ttingen,Federal Republic of Germany,1944
598,445,Bert,Sakmann,12.06.42,,Germany,DE,Stuttgart,,,,male,1991,medicine,,2,"""for their discoveries concerning the function of single ion channels in cells""",Max-Planck-Institut fôr medizinische Forschung,Heidelberg,Federal Republic of Germany,1942
599,452,Edward B.,Lewis,19.05.18,7/21/2004,USA,US,"Wilkes-Barre, PA",USA,US,"Pasadena, CA",male,1995,medicine,,3,"""for their discoveries concerning the genetic control of early embryonic development""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1918
600,454,Eric F.,Wieschaus,08.06.47,,USA,US,"South Bend, IN",,,,male,1995,medicine,,3,"""for their discoveries concerning the genetic control of early embryonic development""",Princeton University,"Princeton, NJ",USA,1947
601,396,Julius,Axelrod,30.05.12,12/29/2004,USA,US,"New York, NY",USA,US,"Rockville, MD",male,1970,medicine,,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",National Institutes of Health,"Bethesda, MD",USA,1912
602,394,Sir Bernard,Katz,26.03.11,4/20/2003,Germany,DE,Leipzig,United Kingdom,GB,London,male,1970,medicine,,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",University College,London,United Kingdom,1911
603,395,Ulf,von Euler,07.02.05,03.09.83,Sweden,SE,Stockholm,Sweden,SE,Stockholm,male,1970,medicine,,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",Karolinska Institutet,Stockholm,Sweden,1905
604,406,David,Baltimore,07.03.38,,USA,US,"New York, NY",,,,male,1975,medicine,,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1938
605,407,Renato,Dulbecco,22.02.14,2/19/2012,Italy,IT,Catanzaro,USA,US,"La Jolla, CA",male,1975,medicine,,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Imperial Cancer Research Fund Laboratory,London,United Kingdom,1914
606,408,Howard Martin,Temin,10.12.34,02.09.94,USA,US,"Philadelphia, PA",USA,US,"Madison, WI",male,1975,medicine,,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",University of Wisconsin,"Madison, WI",USA,1934
607,376,Alan Lloyd,Hodgkin,05.02.14,12/20/1998,United Kingdom,GB,Banbury,United Kingdom,GB,Cambridge,male,1963,medicine,,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",University of Cambridge,Cambridge,United Kingdom,1914
608,375,Sir John Carew,Eccles,27.01.03,05.02.97,Australia,AU,Melbourne,Switzerland,,Contra,male,1963,medicine,,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",Australian National University,Canberra,Australia,1903
